Date,Ride,Average Wait Time (mins),Max Wait Time (mins)
2015-01-13,Jumpin' Jellyfish,5.0,5.0
2015-01-13,Silly Symphony Swings,5.0,5.0
2015-01-13,Turtle Talk with Crush,5.0,5.0
2015-01-13,Grizzly River Run,3.0,18.0
2015-01-13,The Little Mermaid - Ariel's Undersea Adventure,1.0,5.0
2015-01-14,Radiator Springs Racers,38.0,69.0
2015-01-14,Toy Story Midway Mania!,31.0,45.0
2015-01-14,Guardians of the Galaxy - Mission: BREAKOUT!,30.0,53.0
2015-01-14,Incredicoaster,19.0,54.0
2015-01-14,Pixar Pal-A-Round - Swinging,15.0,30.0
2015-01-14,"Monsters, Inc. Mike & Sulley to the Rescue!",14.0,25.0
2015-01-14,Disney's Aladdin - A Musical Spectacular,10.0,13.0
2015-01-14,Disney Junior - Live on Stage!,8.0,11.0
2015-01-14,Goofy's Sky School,8.0,25.0
2015-01-14,Animation Academy,5.0,5.0
2015-01-14,Flik's Flyers,5.0,5.0
2015-01-14,Francis' Ladybug Boogie,5.0,5.0
2015-01-14,Golden Zephyr,5.0,5.0
2015-01-14,Heimlich's Chew Chew Train,5.0,5.0
2015-01-14,It's Tough to be a Bug!,5.0,5.0
2015-01-14,Jessie's Critter Carousel,5.0,5.0
2015-01-14,Jumpin' Jellyfish,5.0,5.0
2015-01-14,Silly Symphony Swings,5.0,5.0
2015-01-14,Tuck and Roll's Drive 'Em Buggies,5.0,5.0
2015-01-14,Turtle Talk with Crush,5.0,5.0
2015-01-14,Mater's Jingle Jamboree,4.0,17.0
2015-01-14,"Luigi's Flying Tires, presented by Alamo",4.0,20.0
2015-01-14,Grizzly River Run,3.0,14.0
2015-01-14,The Little Mermaid - Ariel's Undersea Adventure,2.0,11.0
2015-01-15,Radiator Springs Racers,39.0,82.0
2015-01-15,Toy Story Midway Mania!,33.0,45.0
2015-01-15,Guardians of the Galaxy - Mission: BREAKOUT!,24.0,57.0
2015-01-15,Disney's Aladdin - A Musical Spectacular,12.0,15.0
2015-01-15,Pixar Pal-A-Round - Swinging,12.0,20.0
2015-01-15,"Monsters, Inc. Mike & Sulley to the Rescue!",10.0,25.0
2015-01-15,Heimlich's Chew Chew Train,9.0,10.0
2015-01-15,Incredicoaster,8.0,26.0
2015-01-15,Goofy's Sky School,7.0,13.0
2015-01-15,Animation Academy,5.0,5.0
2015-01-15,Flik's Flyers,5.0,5.0
2015-01-15,Francis' Ladybug Boogie,5.0,5.0
2015-01-15,Golden Zephyr,5.0,5.0
2015-01-15,It's Tough to be a Bug!,5.0,5.0
2015-01-15,Jessie's Critter Carousel,5.0,5.0
2015-01-15,Jumpin' Jellyfish,5.0,5.0
2015-01-15,Silly Symphony Swings,5.0,5.0
2015-01-15,Tuck and Roll's Drive 'Em Buggies,5.0,5.0
2015-01-15,Turtle Talk with Crush,5.0,5.0
2015-01-15,Mater's Jingle Jamboree,3.0,8.0
2015-01-15,"Luigi's Flying Tires, presented by Alamo",3.0,8.0
2015-01-15,Grizzly River Run,3.0,8.0
2015-01-15,The Little Mermaid - Ariel's Undersea Adventure,1.0,5.0
2015-01-15,Disney Junior - Live on Stage!,,
2015-01-16,Radiator Springs Racers,54.0,98.0
2015-01-16,Toy Story Midway Mania!,40.0,50.0
2015-01-16,Pixar Pal-A-Round - Swinging,27.0,45.0
2015-01-16,Guardians of the Galaxy - Mission: BREAKOUT!,20.0,50.0
2015-01-16,"Monsters, Inc. Mike & Sulley to the Rescue!",17.0,30.0
2015-01-16,For the First Time in Forever: A Frozen Sing-Along Celebration,14.0,21.0
2015-01-16,Disney's Aladdin - A Musical Spectacular,12.0,15.0
2015-01-16,Goofy's Sky School,12.0,22.0
2015-01-16,Incredicoaster,10.0,20.0
2015-01-16,Jumpin' Jellyfish,8.0,20.0
2015-01-16,Disney Junior - Live on Stage!,8.0,11.0
2015-01-16,Mater's Jingle Jamboree,7.0,18.0
2015-01-16,"Luigi's Flying Tires, presented by Alamo",7.0,16.0
2015-01-16,Animation Academy,5.0,5.0
2015-01-16,Flik's Flyers,5.0,5.0
2015-01-16,Francis' Ladybug Boogie,5.0,5.0
2015-01-16,Golden Zephyr,5.0,5.0
2015-01-16,Heimlich's Chew Chew Train,5.0,5.0
2015-01-16,It's Tough to be a Bug!,5.0,5.0
2015-01-16,Jessie's Critter Carousel,5.0,5.0
2015-01-16,Silly Symphony Swings,5.0,5.0
2015-01-16,Tuck and Roll's Drive 'Em Buggies,5.0,5.0
2015-01-16,Turtle Talk with Crush,5.0,5.0
2015-01-16,Grizzly River Run,3.0,18.0
2015-01-16,The Little Mermaid - Ariel's Undersea Adventure,3.0,13.0
2015-01-17,Radiator Springs Racers,70.0,110.0
2015-01-17,Toy Story Midway Mania!,42.0,60.0
2015-01-17,Pixar Pal-A-Round - Swinging,32.0,45.0
2015-01-17,Guardians of the Galaxy - Mission: BREAKOUT!,29.0,45.0
2015-01-17,"Monsters, Inc. Mike & Sulley to the Rescue!",24.0,40.0
2015-01-17,For the First Time in Forever: A Frozen Sing-Along Celebration,19.0,28.0
2015-01-17,Incredicoaster,19.0,71.0
2015-01-17,Goofy's Sky School,18.0,45.0
2015-01-17,Flik's Flyers,16.0,20.0
2015-01-17,Disney's Aladdin - A Musical Spectacular,15.0,17.0
2015-01-17,Jumpin' Jellyfish,13.0,15.0
2015-01-17,"Luigi's Flying Tires, presented by Alamo",12.0,20.0
2015-01-17,Mater's Jingle Jamboree,12.0,26.0
2015-01-17,Grizzly River Run,10.0,35.0
2015-01-17,Francis' Ladybug Boogie,9.0,10.0
2015-01-17,Silly Symphony Swings,7.0,15.0
2015-01-17,The Little Mermaid - Ariel's Undersea Adventure,5.0,16.0
2015-01-17,Jessie's Critter Carousel,5.0,10.0
2015-01-17,Animation Academy,5.0,5.0
2015-01-17,Golden Zephyr,5.0,5.0
2015-01-17,Heimlich's Chew Chew Train,5.0,5.0
2015-01-17,It's Tough to be a Bug!,5.0,5.0
2015-01-17,Tuck and Roll's Drive 'Em Buggies,5.0,5.0
2015-01-17,Turtle Talk with Crush,5.0,5.0
2015-01-17,Disney Junior - Live on Stage!,,
2015-01-18,Radiator Springs Racers,72.0,126.0
2015-01-18,Toy Story Midway Mania!,52.0,75.0
2015-01-18,Pixar Pal-A-Round - Swinging,42.0,60.0
2015-01-18,"Monsters, Inc. Mike & Sulley to the Rescue!",30.0,45.0
2015-01-18,Incredicoaster,29.0,53.0
2015-01-18,Guardians of the Galaxy - Mission: BREAKOUT!,28.0,46.0
2015-01-18,Goofy's Sky School,24.0,40.0
2015-01-18,For the First Time in Forever: A Frozen Sing-Along Celebration,20.0,27.0
2015-01-18,Jumpin' Jellyfish,19.0,25.0
2015-01-18,Mater's Jingle Jamboree,18.0,32.0
2015-01-18,"Luigi's Flying Tires, presented by Alamo",16.0,34.0
2015-01-18,Disney's Aladdin - A Musical Spectacular,16.0,20.0
2015-01-18,Heimlich's Chew Chew Train,14.0,20.0
2015-01-18,Grizzly River Run,13.0,50.0
2015-01-18,Francis' Ladybug Boogie,9.0,15.0
2015-01-18,The Little Mermaid - Ariel's Undersea Adventure,9.0,22.0
2015-01-18,Flik's Flyers,8.0,30.0
2015-01-18,Tuck and Roll's Drive 'Em Buggies,7.0,15.0
2015-01-18,Silly Symphony Swings,5.0,10.0
2015-01-18,Animation Academy,5.0,5.0
2015-01-18,Golden Zephyr,5.0,5.0
2015-01-18,Jessie's Critter Carousel,5.0,5.0
2015-01-18,Turtle Talk with Crush,5.0,5.0
2015-01-18,Disney Junior - Live on Stage!,,
2015-01-19,Radiator Springs Racers,47.0,108.0
2015-01-19,Toy Story Midway Mania!,38.0,50.0
2015-01-19,"Monsters, Inc. Mike & Sulley to the Rescue!",22.0,45.0
2015-01-19,Guardians of the Galaxy - Mission: BREAKOUT!,21.0,46.0
2015-01-19,Pixar Pal-A-Round - Swinging,21.0,45.0
2015-01-19,For the First Time in Forever: A Frozen Sing-Along Celebration,20.0,24.0
2015-01-19,Heimlich's Chew Chew Train,16.0,20.0
2015-01-19,Disney's Aladdin - A Musical Spectacular,16.0,19.0
2015-01-19,Incredicoaster,13.0,34.0
2015-01-19,Tuck and Roll's Drive 'Em Buggies,12.0,15.0
2015-01-19,Disney Junior - Live on Stage!,11.0,16.0
2015-01-19,Goofy's Sky School,10.0,32.0
2015-01-19,Mater's Jingle Jamboree,10.0,24.0
2015-01-19,Silly Symphony Swings,10.0,20.0
2015-01-19,Flik's Flyers,8.0,20.0
2015-01-19,"Luigi's Flying Tires, presented by Alamo",8.0,22.0
2015-01-19,Animation Academy,5.0,5.0
2015-01-19,Francis' Ladybug Boogie,5.0,5.0
2015-01-19,Golden Zephyr,5.0,5.0
2015-01-19,Jessie's Critter Carousel,5.0,5.0
2015-01-19,Jumpin' Jellyfish,5.0,5.0
