Date,Ride,Average Wait Time (mins),Max Wait Time (mins)
2018-07-30,Pumpkin Eater,,
2018-07-30,Special Ops: Infected,,
2018-07-30,The Red Barn,,
2018-07-30,Trick or Treat: Lights Out,,
2018-07-31,GhostRider,24.0,50.0
2018-07-31,Timber Mountain Log Ride,24.0,25.0
2018-07-31,HangTime,22.0,50.0
2018-07-31,Coast Rider,11.0,20.0
2018-07-31,Jaguar!,8.0,20.0
2018-07-31,Voyage to the Iron Reef,6.0,15.0
2018-07-31,Calico Mine Ride,5.0,5.0
2018-07-31,Calico River Rapids,5.0,5.0
2018-07-31,Montezooma's Revenge,5.0,5.0
2018-07-31,Pony Express,5.0,5.0
2018-07-31,Sierra Sidewinder,5.0,5.0
2018-07-31,Silver Bullet,5.0,5.0
2018-07-31,Supreme Scream,5.0,5.0
2018-07-31,Xcelerator The Ride,5.0,5.0
2018-07-31,Bloodline 1842,,
2018-07-31,Dark Ride,,
2018-07-31,Paranormal Inc.,,
2018-07-31,Pumpkin Eater,,
2018-07-31,Special Ops: Infected,,
2018-07-31,The Red Barn,,
2018-07-31,Trick or Treat: Lights Out,,
2018-08-01,GhostRider,44.0,50.0
2018-08-01,Xcelerator The Ride,43.0,55.0
2018-08-01,HangTime,42.0,55.0
2018-08-01,Calico River Rapids,35.0,40.0
2018-08-01,Pony Express,21.0,25.0
2018-08-01,Timber Mountain Log Ride,18.0,20.0
2018-08-01,Voyage to the Iron Reef,15.0,25.0
2018-08-01,Silver Bullet,13.0,15.0
2018-08-01,Sierra Sidewinder,13.0,35.0
2018-08-01,Coast Rider,9.0,20.0
2018-08-01,Jaguar!,7.0,15.0
2018-08-01,Montezooma's Revenge,6.0,10.0
2018-08-01,Calico Mine Ride,5.0,5.0
2018-08-01,Supreme Scream,5.0,5.0
2018-08-01,Bloodline 1842,,
2018-08-01,Dark Ride,,
2018-08-01,Paranormal Inc.,,
2018-08-01,Pumpkin Eater,,
2018-08-01,Special Ops: Infected,,
2018-08-01,The Red Barn,,
2018-08-01,Trick or Treat: Lights Out,,
2018-08-02,GhostRider,90.0,100.0
2018-08-02,Calico River Rapids,70.0,70.0
2018-08-02,Xcelerator The Ride,56.0,60.0
2018-08-02,Jaguar!,47.0,60.0
2018-08-02,Sierra Sidewinder,46.0,50.0
2018-08-02,HangTime,40.0,40.0
2018-08-02,Silver Bullet,30.0,30.0
2018-08-02,Timber Mountain Log Ride,30.0,30.0
2018-08-02,Coast Rider,26.0,30.0
2018-08-02,Pony Express,20.0,20.0
2018-08-02,Voyage to the Iron Reef,20.0,20.0
2018-08-02,Calico Mine Ride,6.0,15.0
2018-08-02,Montezooma's Revenge,5.0,5.0
2018-08-02,Supreme Scream,5.0,5.0
2018-08-02,Bloodline 1842,,
2018-08-02,Dark Ride,,
2018-08-02,Paranormal Inc.,,
2018-08-02,Pumpkin Eater,,
2018-08-02,Special Ops: Infected,,
2018-08-02,The Red Barn,,
2018-08-02,Trick or Treat: Lights Out,,
2018-08-03,GhostRider,95.0,110.0
2018-08-03,Sierra Sidewinder,60.0,60.0
2018-08-03,Calico River Rapids,51.0,55.0
2018-08-03,HangTime,50.0,65.0
2018-08-03,Xcelerator The Ride,47.0,65.0
2018-08-03,Jaguar!,22.0,50.0
2018-08-03,Pony Express,21.0,35.0
2018-08-03,Coast Rider,20.0,40.0
2018-08-03,Timber Mountain Log Ride,20.0,20.0
2018-08-03,Silver Bullet,17.0,20.0
2018-08-03,Montezooma's Revenge,14.0,30.0
2018-08-03,Voyage to the Iron Reef,13.0,20.0
2018-08-03,Supreme Scream,6.0,10.0
2018-08-03,Calico Mine Ride,5.0,5.0
2018-08-03,Bloodline 1842,,
2018-08-03,Dark Ride,,
2018-08-03,Paranormal Inc.,,
2018-08-03,Pumpkin Eater,,
2018-08-03,Special Ops: Infected,,
2018-08-03,The Red Barn,,
2018-08-03,Trick or Treat: Lights Out,,
2018-08-04,GhostRider,118.0,120.0
2018-08-04,Sierra Sidewinder,75.0,75.0
2018-08-04,Calico River Rapids,63.0,100.0
2018-08-04,HangTime,43.0,70.0
2018-08-04,Silver Bullet,40.0,40.0
2018-08-04,Timber Mountain Log Ride,38.0,55.0
2018-08-04,Pony Express,36.0,60.0
2018-08-04,Jaguar!,35.0,35.0
2018-08-04,Xcelerator The Ride,30.0,30.0
2018-08-04,Coast Rider,18.0,45.0
2018-08-04,Voyage to the Iron Reef,18.0,35.0
2018-08-04,Calico Mine Ride,15.0,15.0
2018-08-04,Supreme Scream,10.0,10.0
2018-08-04,Montezooma's Revenge,5.0,5.0
2018-08-04,Bloodline 1842,,
2018-08-04,Dark Ride,,
2018-08-04,Paranormal Inc.,,
2018-08-04,Pumpkin Eater,,
2018-08-04,Special Ops: Infected,,
2018-08-04,The Red Barn,,
2018-08-04,Trick or Treat: Lights Out,,
2018-08-05,GhostRider,65.0,65.0
2018-08-05,Xcelerator The Ride,65.0,65.0
2018-08-05,Calico River Rapids,40.0,70.0
2018-08-05,Sierra Sidewinder,35.0,35.0
2018-08-05,Timber Mountain Log Ride,30.0,30.0
2018-08-05,Voyage to the Iron Reef,30.0,30.0
2018-08-05,HangTime,20.0,20.0
2018-08-05,Silver Bullet,20.0,20.0
2018-08-05,Pony Express,14.0,25.0
2018-08-05,Supreme Scream,10.0,10.0
2018-08-05,Calico Mine Ride,5.0,5.0
2018-08-05,Coast Rider,5.0,5.0
2018-08-05,Jaguar!,5.0,5.0
2018-08-05,Montezooma's Revenge,5.0,5.0
2018-08-05,Bloodline 1842,,
2018-08-05,Dark Ride,,
2018-08-05,Paranormal Inc.,,
2018-08-05,Pumpkin Eater,,
2018-08-05,Special Ops: Infected,,
2018-08-05,The Red Barn,,
2018-08-05,Trick or Treat: Lights Out,,
2018-08-06,GhostRider,90.0,90.0
2018-08-06,Xcelerator The Ride,38.0,55.0
2018-08-06,Pony Express,30.0,30.0
2018-08-06,Timber Mountain Log Ride,28.0,30.0
2018-08-06,Silver Bullet,10.0,15.0
2018-08-06,Calico Mine Ride,5.0,5.0
2018-08-06,Calico River Rapids,5.0,5.0
2018-08-06,Coast Rider,5.0,5.0
2018-08-06,HangTime,5.0,5.0
2018-08-06,Jaguar!,5.0,5.0
2018-08-06,Montezooma's Revenge,5.0,5.0
2018-08-06,Sierra Sidewinder,5.0,5.0
2018-08-06,Supreme Scream,5.0,5.0
2018-08-06,Voyage to the Iron Reef,5.0,5.0
2018-08-06,Bloodline 1842,,
2018-08-06,Dark Ride,,
2018-08-06,Paranormal Inc.,,
2018-08-06,Pumpkin Eater,,
2018-08-06,Special Ops: Infected,,
2018-08-06,The Red Barn,,
2018-08-06,Trick or Treat: Lights Out,,
2018-08-07,GhostRider,27.0,50.0
2018-08-07,Calico River Rapids,26.0,40.0
2018-08-07,HangTime,26.0,40.0
