Date,Ride,Average Wait Time (mins),Max Wait Time (mins)
2024-01-11,Dumbo the Flying Elephant,5.0,5.0
2024-01-11,Mad Tea Party,5.0,5.0
2024-01-11,Mr. Toad's Wild Ride,5.0,5.0
2024-01-11,Pinocchio's Daring Journey,5.0,5.0
2024-01-11,Snow White's Enchanted Wish,5.0,5.0
2024-01-11,Space Mountain,5.0,5.0
2024-01-11,Star Tours - The Adventures Continue,5.0,5.0
2024-01-11,Blue Bayou Restaurant,,
2024-01-11,Cafe Orleans,,
2024-01-11,Carnation Café,,
2024-01-11,Oga's Cantina at the Disneyland Resort,,
2024-01-11,River Belle Terrace,,
2024-01-11,King Arthur Carrousel,,
2024-01-11,Adventureland Treehouse inspired by Walt Disney’s Swiss Family Robinson,,
2024-01-11,Astro Orbitor,,
2024-01-11,Autopia,,
2024-01-11,Big Thunder Mountain Railroad,,
2024-01-11,Casey Jr. Circus Train,,
2024-01-11,Chip 'n' Dale's GADGETcoaster,,
2024-01-11,Davy Crockett's Explorer Canoes,,
2024-01-11,Disneyland Railroad,,
2024-01-11,Finding Nemo Submarine Voyage,,
2024-01-11,Goofy's How-to-Play Yard,,
2024-01-11,Great Moments with Mr. Lincoln,,
2024-01-11,Haunted Mansion Holiday,,
2024-01-11,Indiana Jones™ Adventure,,
2024-01-11,Jungle Cruise,,
2024-01-11,Matterhorn Bobsleds,,
2024-01-11,Meet Tinker Bell in Pixie Hollow,,
2024-01-11,Mickey & Minnie's Runaway Railway,,
2024-01-11,Mickey's House and Meet Mickey Mouse,,
2024-01-11,Millennium Falcon: Smugglers Run,,
2024-01-11,Millennium Falcon: Smugglers Run Single Rider,,
2024-01-11,Pirate's Lair on Tom Sawyer Island,,
2024-01-11,Pirates of the Caribbean,,
2024-01-11,Roger Rabbit's Car Toon Spin,,
2024-01-11,Sailing Ship Columbia,,
2024-01-11,Splash Mountain,,
2024-01-11,Star Wars: Rise of the Resistance,,
2024-01-11,Storybook Land Canal Boats,,
2024-01-11,The Many Adventures of Winnie the Pooh,,
2024-01-11,Walt Disney's Enchanted Tiki Room,,
2024-01-12,Alice in Wonderland,10.0,10.0
2024-01-12,Peter Pan's Flight,10.0,10.0
2024-01-12,Space Mountain,10.0,10.0
2024-01-12,Buzz Lightyear Astro Blasters,5.0,5.0
2024-01-12,Disneyland Monorail,5.0,5.0
2024-01-12,Dumbo the Flying Elephant,5.0,5.0
2024-01-12,King Arthur Carrousel,5.0,5.0
2024-01-12,Mad Tea Party,5.0,5.0
2024-01-12,Mr. Toad's Wild Ride,5.0,5.0
2024-01-12,Pinocchio's Daring Journey,5.0,5.0
2024-01-12,Snow White's Enchanted Wish,5.0,5.0
2024-01-12,Star Tours - The Adventures Continue,5.0,5.0
2024-01-12,Blue Bayou Restaurant,,
2024-01-12,Cafe Orleans,,
2024-01-12,Carnation Café,,
2024-01-12,Oga's Cantina at the Disneyland Resort,,
2024-01-12,River Belle Terrace,,
2024-01-12,Adventureland Treehouse inspired by Walt Disney’s Swiss Family Robinson,,
2024-01-12,Astro Orbitor,,
2024-01-12,Autopia,,
2024-01-12,Big Thunder Mountain Railroad,,
2024-01-12,Casey Jr. Circus Train,,
2024-01-12,Chip 'n' Dale's GADGETcoaster,,
2024-01-12,Davy Crockett's Explorer Canoes,,
2024-01-12,Disneyland Railroad,,
2024-01-12,Finding Nemo Submarine Voyage,,
2024-01-12,Goofy's How-to-Play Yard,,
2024-01-12,Great Moments with Mr. Lincoln,,
2024-01-12,Haunted Mansion Holiday,,
2024-01-12,Indiana Jones™ Adventure,,
2024-01-12,Jungle Cruise,,
2024-01-12,Matterhorn Bobsleds,,
2024-01-12,Meet Tinker Bell in Pixie Hollow,,
2024-01-12,Mickey & Minnie's Runaway Railway,,
2024-01-12,Mickey's House and Meet Mickey Mouse,,
2024-01-12,Millennium Falcon: Smugglers Run,,
2024-01-12,Millennium Falcon: Smugglers Run Single Rider,,
2024-01-12,Pirate's Lair on Tom Sawyer Island,,
2024-01-12,Pirates of the Caribbean,,
